numero_guia_consulta,cod_medico,nome_medico,data_consulta,valor_consulta
1,41591,LUANE,2019-08-22,60.0
6,78407,PEDRIANE,2018-08-21,60.0
10,44322,ELENILDO,2018-07-20,60.0
5,46337,ITACIO,2018-07-16,45
16,37402,GEVALDO,2018-07-21,60.0
8,79310,RAFAELE,2018-10-19,45
25,55032,JUCENIRA,2019-08-30,60.0
32,64797,LUIZA,2019-08-17,60.0
12,31116,ERONILDE,2018-06-02,45
33,84187,ROSINALDA,2018-06-05,60.0
36,99597,YORRA,2018-08-18,60.0
15,31541,ESTEFANI,2018-11-21,45
39,60623,LEDES,2018-04-17,60.0
40,72038,NAIVETE,2019-10-30,60.0
44,6001,ELZITA,2018-10-06,60.0
46,51674,JULIANA,2019-05-27,60.0
48,46332,ITACIANA,2019-09-07,60.0
57,7615,ANILO,2019-02-07,60.0
60,19765,DILERMANO,2019-02-09,60.0
67,25364,EDIOGENES,2018-12-04,60.0
68,10393,AVAN,2019-01-15,60.0
75,75078,NIVELTON,2018-07-05,60.0
78,7991,ANTONHO,2019-11-08,60.0
95,87368,SUELANIA,2018-01-16,60.0
100,5457,ALONCO,2019-04-26,60.0
31,19331,DULCE,2018-03-02,45
34,83230,RONILSON,2018-12-01,45
35,83126,RONE,2019-11-16,45
109,81294,RESEMEIRE,2018-04-27,60.0
38,38213,GILSINEIDE,2018-06-04,45
41,33276,EZINA,2018-03-26,45
42,35890,JAILANE,2019-10-19,45
121,67996,MARK,2019-03-03,60.0
114,20819,DEUBER,2018-11-23,60.0
120,40344,JULIO,2019-11-27,60.0
133,14549,CLADECIR,2018-09-07,60.0
50,34956,FRANQUES,2018-01-08,45
51,38814,GIVALDA,2018-07-03,45
52,40397,GISELA,2018-12-01,45
141,24710,EDEVANILSON,2019-07-18,60.0
148,62771,OLINDINA,2018-02-05,60.0
55,97027,WANY,2018-01-07,45
56,35869,GEISIBEL,2019-03-25,45
157,58362,KETELLY,2019-01-23,60.0
161,22767,DISRAELI,2019-02-26,60.0
61,36835,GERINALDO,2019-07-02,45
62,48368,JAMIO,2019-10-02,45
63,40280,JAINE,2019-01-13,45
168,84448,ROSANI,2019-03-23,60.0
187,11239,DERENI,2019-05-29,60.0
200,69089,MAXWELL,2019-09-18,60.0
216,89241,SUZELAINE,2018-02-13,60.0
70,39675,GOIACI,2019-05-02,45
217,66555,MARILINE,2019-02-20,60.0
223,8964,ARLEUDO,2018-02-03,60.0
73,55385,JAILANE,2018-09-30,45
230,22103,DELSILENE,2019-10-10,60.0
233,7858,ANTINO,2018-11-17,60.0
244,66393,MANOELINO,2018-10-12,60.0
247,87764,SIMAURA,2019-11-16,60.0
80,88392,SULIVAN,2018-02-25,45
81,84192,ROSINIRA,2018-07-22,45
82,99604,HORRARA,2018-02-26,45
83,20250,DENILCE,2018-01-13,45
251,9892,AUDES,2018-05-20,60.0
85,67617,MARINILDE,2019-09-15,45
259,93332,VALDIRE,2018-08-08,60.0
260,88042,SIRLEDE,2018-10-26,60.0
279,95318,VENILDES,2018-10-20,60.0
89,83247,RONIGLEI,2018-05-09,45
280,177,ABIDERMAN,2018-01-19,60.0
282,59451,LENE,2019-09-03,60.0
92,26567,ECIANE,2018-06-26,45
299,875,ADILON,2019-03-25,60.0
304,8563,ARIELA,2018-04-28,60.0
96,99398,IASMI,2019-08-29,45
97,36367,GENISO,2018-11-28,45
98,34951,FRANQUILIN,2018-01-22,45
99,35653,JEFSON,2019-03-30,45
101,97865,WERBETE,2018-07-14,45
102,7806,ANREZA,2018-05-20,45
103,96859,WALTERNEI,2018-03-22,45
306,7826,ANTARES,2019-11-22,60.0
105,90972,TEVERSON,2018-06-10,45
